Date,DayScore,Stress,Sleep,Drinks,WorkoutTime,Sport,WorkoutStart,Eat
2016/11/07 4:59:14 PM AST,6,2,No,3,60-90min,Squash,17:15,7
2016/11/08 8:44:14 AM AST,5,2,Maybe,1,None,None,0:00,6
2016/11/09 9:14:26 AM AST,6,5,No,1,0-30min,Swim,19:00,8
2016/11/10 9:13:23 AM AST,3,5,No,0,60-90min,Squash,21:00,7
2016/11/11 10:30:23 AM AST,7,2,Maybe,0,None,none,0:00,7
2016/11/12 10:44:49 AM AST,7,3,Maybe,1,None,none,0:00,7
2016/11/13 12:33:29 PM AST,8,1,No,7,30-60 min,Run,8:00,6
2016/11/14 1:01:58 PM AST,8,1,No,3,None,none,0:00,7
2016/11/15 10:48:59 AM AST,9,1,No,3,30-60 min,Swim,16:30,7
2016/11/16 2:01:06 PM AST,9,2,No,3,30-60 min,Run,16:15,7
2016/11/17 10:17:03 AM AST,7,2,Maybe,0,None,none,0:00,7
2016/11/18 9:04:22 AM AST,8,1,Maybe,0,30-60 min,Squash,20:30,8
2016/11/19 12:22:57 PM AST,8,1,No,3,None,none,0:00,7
2016/11/20 11:15:50 AM AST,9,1,Yes,1,60-90min,Water polo,14:00,8
2016/11/21 10:02:07 AM AST,8,1,Yes,0,60-90min,Squash,17:15,7
2016/11/22 10:13:37 AM AST,7,2,No,1,0-30min,Swim,18:30,7
2016/11/23 10:22:38 AM AST,9,1,Yes,0,90-120min,Water polo,20:00,8
2016/11/24 7:49:41 AM AST,9,1,No,0,90-120min,Water polo,20:00,6
2016/11/25 2:31:18 PM AST,8,1,Yes,1,0-30min,Run,11:00,7
2016/11/26 9:21:17 AM AST,9,1,Yes,1,60-90min,Tennis,10:15,6
2016/11/27 9:24:29 AM AST,9,1,Maybe,0,None,none,0:00,8
2016/11/28 8:19:43 AM AST,9,1,Maybe,1,None,none,12:00,4
2016/11/29 10:01:53 AM AST,7,2,Yes,1,30-60 min,Pilates,15:00,7
2016/11/30 10:07:58 AM AST,4,2,Maybe,0,None,none,0:00,5
2016/12/01 7:47:56 AM AST,5,2,No,0,60-90min,Squash,21:00,8
2016/12/02 9:13:22 AM AST,5,1,Yes,1,30-60 min,Squash,20:00,7
2016/12/03 2:13:55 PM AST,5,1,Yes,0,None,none,1:00,6
2016/12/04 11:21:48 AM AST,7,1,Yes,4,60-90min,Water polo,14:00,6
2016/12/05 12:52:05 PM AST,5,1,Yes,0,0-30min,Bike,17:00,8
2016/12/06 9:20:42 AM AST,6,2,Maybe,0,None,none,0:00,6
2016/12/07 10:04:00 AM AST,6,3,Yes,0,90-120min,Water polo,20:00,6
2016/12/08 10:10:14 AM AST,7,1,Yes,0,60-90min,Squash,21:00,7
